Date,Region,Product,Channel,Units,Revenue,Profit,Customers
2026-01-01,North,Core,Direct,120,9600,3100,98
2026-01-01,South,Plus,Partner,91,11375,3500,74
2026-02-01,North,Pro,Online,108,19440,6500,88
2026-02-01,South,Core,Direct,95,7600,2400,69
2026-03-01,East,Plus,Online,116,14500,4600,91
2026-03-01,West,Pro,Direct,102,18360,6100,83
2026-04-01,South,Core,Partner,83,6640,2050,62
2026-04-01,North,Plus,Direct,125,15625,5000,101
2026-05-01,East,Pro,Online,111,19980,6800,89
2026-05-01,West,Core,Partner,98,7840,2500,77
2026-06-01,South,Pro,Direct,74,13320,4200,57
2026-06-01,North,Core,Online,131,10480,3400,106
2026-07-01,East,Plus,Partner,118,14750,4700,92
2026-07-01,West,Pro,Direct,105,18900,6300,85
2026-08-01,South,Core,Online,79,6320,1900,60
2026-08-01,North,Plus,Direct,128,16000,5200,103
2026-09-01,East,Pro,Online,114,20520,7000,91
2026-09-01,West,Core,Partner,101,8080,2600,79
2026-10-01,South,Pro,Direct,69,12420,3800,53
2026-10-01,North,Core,Online,136,10880,3500,109
2026-11-01,East,Plus,Partner,121,15125,4800,94
2026-11-01,West,Pro,Direct,109,19620,6500,87
2026-12-01,South,Core,Online,76,6080,1800,58
2026-12-01,North,Plus,Direct,132,16500,5300,106
